Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,11,asymmetric,symmetric,0.4744928052396403
75% Corpus,12,0.01,0.01,0.43425696813914555
75% Corpus,12,0.01,0.31,0.48021687778194383
75% Corpus,12,0.01,0.61,0.4580871899511365
75% Corpus,12,0.01,0.9099999999999999,0.4468378712057565
75% Corpus,12,0.01,symmetric,0.42777142104873134
75% Corpus,12,0.31,0.01,0.43475549695274734
75% Corpus,12,0.31,0.31,0.45680587416033364
75% Corpus,12,0.31,0.61,0.4757953052703086
75% Corpus,12,0.31,0.9099999999999999,0.5079142173680337
75% Corpus,12,0.31,symmetric,0.40083131210265815
75% Corpus,12,0.61,0.01,0.44076424585635343
75% Corpus,12,0.61,0.31,0.438642988105725
75% Corpus,12,0.61,0.61,0.4261256606994277
75% Corpus,12,0.61,0.9099999999999999,0.5026928180153817
75% Corpus,12,0.61,symmetric,0.4357931046683323
75% Corpus,12,0.9099999999999999,0.01,0.45240683412690014
75% Corpus,12,0.9099999999999999,0.31,0.45572437972563146
75% Corpus,12,0.9099999999999999,0.61,0.43376965465052403
75% Corpus,12,0.9099999999999999,0.9099999999999999,0.4812945049065173
75% Corpus,12,0.9099999999999999,symmetric,0.43051758265292106
75% Corpus,12,symmetric,0.01,0.43957707033354226
75% Corpus,12,symmetric,0.31,0.47005877645836996
75% Corpus,12,symmetric,0.61,0.43976614307718237
75% Corpus,12,symmetric,0.9099999999999999,0.48234142859305
75% Corpus,12,symmetric,symmetric,0.41323459056629636
75% Corpus,12,asymmetric,0.01,0.4335237560237104
75% Corpus,12,asymmetric,0.31,0.49756768638399373
75% Corpus,12,asymmetric,0.61,0.4504091733422997
75% Corpus,12,asymmetric,0.9099999999999999,0.374843812710802
75% Corpus,12,asymmetric,symmetric,0.4270025309815208
75% Corpus,13,0.01,0.01,0.44732396282377745
75% Corpus,13,0.01,0.31,0.49040341895314865
75% Corpus,13,0.01,0.61,0.45483466864039995
75% Corpus,13,0.01,0.9099999999999999,0.3874426054906701
75% Corpus,13,0.01,symmetric,0.444429457922022
75% Corpus,13,0.31,0.01,0.44246557331852393
75% Corpus,13,0.31,0.31,0.4633769801454454
75% Corpus,13,0.31,0.61,0.48689036202346553
75% Corpus,13,0.31,0.9099999999999999,0.3733721929823242
75% Corpus,13,0.31,symmetric,0.4528414571539823
75% Corpus,13,0.61,0.01,0.45726049366218535
75% Corpus,13,0.61,0.31,0.42537530471904844
75% Corpus,13,0.61,0.61,0.4490308898640461
75% Corpus,13,0.61,0.9099999999999999,0.40173098019275344
75% Corpus,13,0.61,symmetric,0.4373521040532436
75% Corpus,13,0.9099999999999999,0.01,0.45496272685347755
75% Corpus,13,0.9099999999999999,0.31,0.4559553540011156
75% Corpus,13,0.9099999999999999,0.61,0.4504134487532575
75% Corpus,13,0.9099999999999999,0.9099999999999999,0.510516267771796
75% Corpus,13,0.9099999999999999,symmetric,0.45071095116377413
75% Corpus,13,symmetric,0.01,0.45012256249891813
75% Corpus,13,symmetric,0.31,0.49231823475319375
75% Corpus,13,symmetric,0.61,0.4417666302833484
75% Corpus,13,symmetric,0.9099999999999999,0.36648100775549175
75% Corpus,13,symmetric,symmetric,0.4624462256321358
75% Corpus,13,asymmetric,0.01,0.4529332654653203
75% Corpus,13,asymmetric,0.31,0.5010831506448841
75% Corpus,13,asymmetric,0.61,0.47003521124672637
75% Corpus,13,asymmetric,0.9099999999999999,0.35626425008267676
75% Corpus,13,asymmetric,symmetric,0.48014343422616307
75% Corpus,14,0.01,0.01,0.439717669255848
75% Corpus,14,0.01,0.31,0.47603608769477024
75% Corpus,14,0.01,0.61,0.4170681963636316
75% Corpus,14,0.01,0.9099999999999999,0.4521893817921318
75% Corpus,14,0.01,symmetric,0.46330263561173396
75% Corpus,14,0.31,0.01,0.44086322591898586
75% Corpus,14,0.31,0.31,0.4645633381511888
75% Corpus,14,0.31,0.61,0.4201971186035431
75% Corpus,14,0.31,0.9099999999999999,0.38880990328906095
75% Corpus,14,0.31,symmetric,0.45525749206031235
75% Corpus,14,0.61,0.01,0.4424601695349172
75% Corpus,14,0.61,0.31,0.44377850054348605
75% Corpus,14,0.61,0.61,0.4505244672883939
75% Corpus,14,0.61,0.9099999999999999,0.45409886676886274
75% Corpus,14,0.61,symmetric,0.43290242907455745
75% Corpus,14,0.9099999999999999,0.01,0.45500439773215
75% Corpus,14,0.9099999999999999,0.31,0.42607206053711916
75% Corpus,14,0.9099999999999999,0.61,0.39360055560659557
75% Corpus,14,0.9099999999999999,0.9099999999999999,0.5174684238596049
75% Corpus,14,0.9099999999999999,symmetric,0.45035913081134993
75% Corpus,14,symmetric,0.01,0.42954500987220773
75% Corpus,14,symmetric,0.31,0.4882879907022745
75% Corpus,14,symmetric,0.61,0.46829116640226454
75% Corpus,14,symmetric,0.9099999999999999,0.5096783596297149
75% Corpus,14,symmetric,symmetric,0.46205230262906566
75% Corpus,14,asymmetric,0.01,0.42472384638298205
75% Corpus,14,asymmetric,0.31,0.48827257840916805
75% Corpus,14,asymmetric,0.61,0.4137701279309791
75% Corpus,14,asymmetric,0.9099999999999999,0.38488659788871366
75% Corpus,14,asymmetric,symmetric,0.48532292522591003
75% Corpus,15,0.01,0.01,0.44551422254495665
75% Corpus,15,0.01,0.31,0.4895386819437718
75% Corpus,15,0.01,0.61,0.44542495988819497
75% Corpus,15,0.01,0.9099999999999999,0.37417938785694765
75% Corpus,15,0.01,symmetric,0.4851460303771083
75% Corpus,15,0.31,0.01,0.43917319606047983
75% Corpus,15,0.31,0.31,0.46767462934410614
75% Corpus,15,0.31,0.61,0.45013772202918056
75% Corpus,15,0.31,0.9099999999999999,0.36390702308497275
75% Corpus,15,0.31,symmetric,0.47306927146057315
75% Corpus,15,0.61,0.01,0.462905880789215
75% Corpus,15,0.61,0.31,0.450526043404457
75% Corpus,15,0.61,0.61,0.3980952822881211
75% Corpus,15,0.61,0.9099999999999999,0.4478288486463399
75% Corpus,15,0.61,symmetric,0.4398625194239593
75% Corpus,15,0.9099999999999999,0.01,0.47413335323412475
75% Corpus,15,0.9099999999999999,0.31,0.4354615555210131
75% Corpus,15,0.9099999999999999,0.61,0.455744998171722
75% Corpus,15,0.9099999999999999,0.9099999999999999,0.5391245779194714
75% Corpus,15,0.9099999999999999,symmetric,0.45943192313967157
75% Corpus,15,symmetric,0.01,0.45472767566433564
75% Corpus,15,symmetric,0.31,0.47710138154808435
75% Corpus,15,symmetric,0.61,0.42566272520901793
75% Corpus,15,symmetric,0.9099999999999999,0.3690801701062762
75% Corpus,15,symmetric,symmetric,0.49504605148504505
75% Corpus,15,asymmetric,0.01,0.4408660364264666
75% Corpus,15,asymmetric,0.31,0.4604893597284871
75% Corpus,15,asymmetric,0.61,0.40990673126937754
75% Corpus,15,asymmetric,0.9099999999999999,0.41106478919022865
75% Corpus,15,asymmetric,symmetric,0.45533778016244614
